driver_race	location_variable	num_stops	num_searches	num_hits
Hispanic	201	11	0	0
Hispanic	202	55	1	0
Hispanic	203	1	0	0
Hispanic	204	6	4	4
Hispanic	206	86	10	2
Hispanic	208	1	0	0
Hispanic	210	80	9	4
Hispanic	211	29	7	1
Hispanic	212	79	2	0
Hispanic	214	70	6	1
Hispanic	215	124	7	3
Hispanic	220	24	6	0
Hispanic	221	119	28	10
Hispanic	222	137	19	3
Hispanic	223	161	4	1
Hispanic	224	55	3	0
Hispanic	230	7	0	0
Hispanic	240	49	2	0
Hispanic	241	198	11	1
Hispanic	242	53	4	0
Hispanic	250	1	0	0
Hispanic	251	4	1	0
Hispanic	252	3	0	0
Hispanic	253	2	1	0
Hispanic	271	42	1	0
Hispanic	272	41	0	0
Hispanic	273	115	18	5
Hispanic	274	40	2	0
Hispanic	281	1	0	0
Hispanic	282	1	0	0
Hispanic	291	26	5	0
Hispanic	292	27	1	0
Hispanic	293	9	0	0
Hispanic	294	19	0	0
Hispanic	295	16	0	0
Hispanic	296	2	0	0
Hispanic	301	73	16	3
Hispanic	302	121	34	8
Hispanic	303	138	47	7
Hispanic	304	43	12	4
Hispanic	305	364	82	28
Hispanic	306	546	121	23
Hispanic	307	193	37	8
Hispanic	308	289	53	16
Hispanic	309	57	18	2
Hispanic	310	165	54	7
Hispanic	311	84	20	5
Hispanic	312	110	35	4
Hispanic	313	87	8	3
Hispanic	314	70	19	4
Hispanic	315	104	21	4
Hispanic	316	66	27	10
Hispanic	317	46	6	0
Hispanic	318	38	12	3
Hispanic	319	44	20	12
Hispanic	321	1	0	0
Hispanic	323	14	6	0
Hispanic	324	4	3	1
Hispanic	325	8	1	1
Hispanic	326	15	5	1
Hispanic	327	4	2	2
Hispanic	328	16	3	0
Hispanic	329	3	2	0
Hispanic	330	6	2	0
Hispanic	331	23	8	1
Hispanic	332	17	6	1
Hispanic	333	29	9	1
Hispanic	349	58	5	2
Hispanic	350	324	96	9
Hispanic	351	163	33	10
Hispanic	352	143	15	2
Hispanic	353	66	20	3
Hispanic	354	77	30	8
Hispanic	355	268	65	16
Hispanic	356	155	44	3
Hispanic	357	213	60	16
Hispanic	358	122	10	2
Hispanic	359	104	19	1
Hispanic	360	99	18	3
Hispanic	361	66	3	1
Hispanic	362	5	1	1
Hispanic	363	12	0	0
Hispanic	364	6	1	0
Hispanic	365	4	2	1
Hispanic	366	4	0	0
Hispanic	367	6	4	0
Hispanic	371	6	2	0
Hispanic	373	50	3	1
Hispanic	375	8	3	0
Hispanic	376	6	1	0
Hispanic	377	2	2	2
Hispanic	378	9	3	1
Hispanic	379	2	1	0
Hispanic	380	2	1	0
Hispanic	381	115	45	19
Hispanic	382	85	19	6
Hispanic	383	18	7	1
Hispanic	384	92	22	6
Hispanic	385	75	22	3
Hispanic	386	11	2	0
Hispanic	387	8	1	0
Hispanic	388	27	2	1
Hispanic	389	13	6	3
Hispanic	390	30	10	2
Hispanic	391	10	1	1
Hispanic	392	9	0	0
Hispanic	393	35	12	4
Hispanic	394	2	0	0
Hispanic	395	2	0	0
Hispanic	396	39	3	1
Hispanic	397	1	1	0
Hispanic	398	3	0	0
Hispanic	401	2	0	0
Hispanic	402	6	0	0
Hispanic	404	4	0	0
Hispanic	405	1	0	0
Hispanic	406	85	1	0
Hispanic	407	10	1	0
